col_value^cnt^col_name
COURT SQUARE^5^street_name
E 31 ST^22^street_name
RANDALLS ISLAND^47^street_name
E 45TH STREET^2^street_name
SHERIDAN AVE^32^street_name
N/B 87 ST^2^street_name
ROEBLING AVE^2^street_name
W 110 ST^40^street_name
C/O 129 ST^2^street_name
FERNSIDE PL^10^street_name
E 57TH ST^49^street_name
MILL AVE^1^street_name
33 RD^2^street_name
QUEENS PLAZA NO^1^street_name
CHATTERTON^2^street_name
E 229TH ST^1^street_name
BARTHOLDI ST^3^street_name
MILFORD ST^18^street_name
W 29 STREET^4^street_name
CLARKSON AV^6^street_name
E 157^2^street_name
10TH AVENUE^25^street_name
C/O KENMORE TERR^2^street_name
EAST 218TH ST^1^street_name
WESCHESTER AVE^1^street_name
GARFIELD ST^6^street_name
NEVINS ST^11^street_name
S/W CO ELDERT LN^1^street_name
S/S E 211TH^1^street_name
WEST STREET JEROME A^1^street_name
Rombouts Ave^37^street_name
Napier Ave^5^street_name
Sage St^5^street_name
Bay 38th St^11^street_name
Cranford Ave^10^street_name
Mount Hope Pl^67^street_name
Hamilton Ter^53^street_name
Monticello Ave^15^street_name
Carver Loop^36^street_name
Bessemer St^3^street_name
Rutgers St^90^street_name
Astor Pl^124^street_name
Arverne Blvd^18^street_name
Bayport Pl^6^street_name
64th Ln^10^street_name
Riegelmann St^2^street_name
Arden Ave^1^street_name
Luten Ave^5^street_name
242nd St^13^street_name
56th Rd^42^street_name
Victor Rd^6^street_name
Lagrange Pl^1^street_name
Courtney Ave^1^street_name
Oak Tree Pl^4^street_name
Hubbell St^1^street_name
W 174 STR^2^street_name
E 56TH ST^10^street_name
WEST 108 ST^1^street_name
ABINGDON ROAD^3^street_name
TERMINAL C^1^street_name
E/B HORACE HARDING E^1^street_name
TIFFANY PLACE^1^street_name
47 AVENUE^3^street_name
W 121 STREET^2^street_name
C/O WEST 120 ST^1^street_name
WEST 12 STREET^4^street_name
S/E C/O 69 ROAD^1^street_name
GRAND CENTRAL PARKWY^6^street_name
PARK AVE W^1^street_name
EAST 72 ST^3^street_name
150 PLACE^1^street_name
HUSTON^1^street_name
N/S WHITTIER ST^1^street_name
S/S OF E 173^1^street_name
E 157TH STREET^1^street_name
94 RD^2^street_name
CAMP RD^1^street_name
E LEXINGTON^1^street_name
UTICA AV^5^street_name
R/S RALPH AVE^1^street_name
NEW UTRECHT  AVE^2^street_name
NEW UTREHT AVE^1^street_name
ARGYLE RD^6^street_name
Gansevoort Blvd^3^street_name
E GUNHIILL RD^1^street_name
C/O W 130^1^street_name
ST NICHOLAS TER^2^street_name
N/W C/O E 88 ST^1^street_name
S/S HOYT AVE NORTH^1^street_name
KINGSBOURGH 4TH WALK^1^street_name
HANCOCK^4^street_name
N/O  C/O BROADWAY^1^street_name
CUMBERLAND^1^street_name
STARR STREET^4^street_name
W 58 STREET^11^street_name
920 ST^1^street_name
VAN COURTLAD AVE E^1^street_name
C/O LOGAN ST^2^street_name
N/B BRONX PARK EAST^2^street_name
DRUEY AVE^1^street_name
ESCARABA AVE^1^street_name
BEACH CLAY PL^1^street_name
N/E C/O 56TH ST^1^street_name
N/E C/O PERRY AVE^1^street_name
SHEFFEILD AVE^1^street_name
W 58T ST^1^street_name
NB CASTLE HILL AVE @^1404^street_name
WB AVE X. BRIGHAM ST^15^street_name
SB 3 AV CAROLL ST -^23^street_name
C/O E 53^1^street_name
BIRCHALL AVE^4^street_name
SEDGWICK PL^1^street_name
CROMWELL AVE^11^street_name
VAN BRUNT ST^64^street_name
SHAKESPEARE AV^1^street_name
FOREST AV^1^street_name
RICHMOND TERALE^1^street_name
ALEXANDER AVE^14^street_name
E 142 STREET^2^street_name
ADRIAN AVENUE^1^street_name
RIVERSIDE  DR^1^street_name
SCHENECTADY AVENUE^2^street_name
C/O FULTON ST^1^street_name
BRUCKNER AVE^1^street_name
E 226 STREET^3^street_name
NEEHAM AVE^1^street_name
PLAINVIEW AVE^6^street_name
C/O GUNTHER PL^1^street_name
GEORIGA AVENUE^2^street_name
WATER EDGE^1^street_name
HUNT PT PL^1^street_name
BRONXDALE AVE^41^street_name
W 175TH ST^4^street_name
WEST 165 ST^5^street_name
W 204 ST.^1^street_name
E 22 STREET^1^street_name
WEST 1 STREET^2^street_name
PAERDEGAT 1ST^1^street_name
66TH STREET^5^street_name
N/E C/O 34 AVE^1^street_name
MACOMBS PLACE^5^street_name
EAST 163RD STREET^5^street_name
OCEAN PARK WAY^2^street_name
BOSTON  RD^1^street_name
147th St^162^street_name
W 74th St^447^street_name
W 73rd St^427^street_name
149th Dr^8^street_name
Linden Blvd^547^street_name
E 144th St^72^street_name
Ovington Ave^185^street_name
E 13th St^1704^street_name
Grenfell St^36^street_name
W Gun Hill Rd^60^street_name
Canal St^759^street_name
Villa Ave^27^street_name
East End Ave^165^street_name
E 104th St^234^street_name
Kilroe St^2^street_name
Avenue W^80^street_name
Bragg St^32^street_name
Hilburn Ave^2^street_name
Ellsworth Pl^2^street_name
Smith Ter^1^street_name
Sandgap St^1^street_name
Penn Plz^615^street_name
Minna St^13^street_name
Christopher Ave^46^street_name
Harway Ave^14^street_name
E 82 STREET^2^street_name
HILL STREET^4^street_name
VERMILYEA^3^street_name
HORROW STR^1^street_name
RALPH ST^1^street_name
TINTON AVENUE^4^street_name
R/O 350 ST ANNS^3^street_name
C/O TENNEY^1^street_name
S/W C/O CROMMELIN ST^1^street_name
110TH ST^1^street_name
HALPERIN AVE^1^street_name
FREEMAN STREET^4^street_name
W/S PARK TERR^1^street_name
DAHILL ROAD^3^street_name
WEST 167 STREET^2^street_name
GREENWICH STREET^8^street_name
ROBERT WAGNER PLACE^1^street_name
S/SM E 192^1^street_name
EAST 52ND STR^1^street_name
READE ST^12^street_name
E 172ND STREETY^1^street_name
LOVONIA AVE^1^street_name
FT. CAPODANNO BLVD^1^street_name
BAY 34TH ST^1^street_name
ATKINS^1^street_name
WEST 47TH ST^4^street_name
37 DR^1^street_name
N/E C/O 67 ST^1^street_name
PURITAN AVE^1^street_name
WEST 54TH STREET^7^street_name
C/O 149 DRIVE^1^street_name
S/S OF WEST 167 ST^1^street_name
PACIFIC CENTER^1^street_name
E/S REOFERN AVE^1^street_name
2 AV^1^street_name
BSP ST^1^street_name
WEST 76 ST^1^street_name
N/S 101 AVE^1^street_name
ALVEROSN LOOP^1^street_name
C/O BEVERLY ROAD^1^street_name
FUTLON ST^1^street_name
E/S WILLOGHBY AVE^1^street_name
W/S 3 AVE^1^street_name
NB HYLAN BLVD @ MIDL^47^street_name
SB 2ND AVE @ E 14TH^1^street_name
SB EASTERN PKWY @ TR^2424^street_name
WB RICHMND TER. NICH^1^street_name
NB BEDFORD AV. MASON^26^street_name
EB HILLSIDE AV. 131^10^street_name
HOWARD AVE (N/B) @ E^168^street_name
NB OCEAN AV. AVE. H^41^street_name
20 ROOSEVELT AVE^1^street_name
42 ST^34^street_name
