col_value^cnt^col_name
CCK^2^plate_type
OMO^2^plate_type
CLG^2^plate_type
LMB^2^plate_type
SOS^15^plate_type
SPC^28^plate_type
SUP^8^plate_type
NYA^3^plate_type
APP^1952^plate_type
FAR^2^plate_type
RGL^524^plate_type
CHC^35^plate_type
STA^33^plate_type
BOT^2^plate_type
RGC^25^plate_type
TRC^2784^plate_type
AMB^17^plate_type
COM^190147^plate_type
BOB^6^plate_type
HAM^19^plate_type
CMH^203^plate_type
NYS^5^plate_type
MCD^4^plate_type
IRP^5291^plate_type
ORG^1591^plate_type
999^4467^plate_type
ATD^4^plate_type
ORC^33^plate_type
LTR^2^plate_type
USC^3^plate_type
ITP^283^plate_type
SRF^8341^plate_type
OMF^21^plate_type
LUA^1^plate_type
AGR^29^plate_type
OML^1181^plate_type
ORM^2^plate_type
MCL^63^plate_type
PAS^740554^plate_type
OMR^2158^plate_type
OMT^35480^plate_type
SCL^700^plate_type
OMV^7^plate_type
PHS^81^plate_type
STG^6^plate_type
PSD^900^plate_type
CSP^131^plate_type
AYG^16^plate_type
PPH^2^plate_type
HIS^67^plate_type
GAC^1^plate_type
AGC^10^plate_type
MED^1211^plate_type
LMA^8^plate_type
ARG^4^plate_type
THC^28^plate_type
DLR^333^plate_type
SRN^348^plate_type
VPL^3^plate_type
SEM^53^plate_type
SPO^823^plate_type
HAC^1^plate_type
CMB^1368^plate_type
TOW^611^plate_type
VAS^427^plate_type
FPW^1^plate_type
NLM^14^plate_type
TRL^223^plate_type
OMS^9032^plate_type
TRA^318^plate_type
LMC^2^plate_type
MOT^1851^plate_type
CME^30^plate_type
CBS^71^plate_type
NYC^12^plate_type
